match_id,track_id,class_id,class_name,sub_class_name,start_frame,end_frame,duration_check,occlusion_flag,notes,骨架消失區段,骨架消失可能原因,動作note
HDR80_A_Live_20230205_132958_000.json,8,2,Setting,Standard Set (站立舉球),290,350,✅ 正常: 60 幀,1 - 部分遮擋但軌跡完整,,,,
HDR80_A_Live_20230205_132958_000.json,1,1,Passing,Forearm Pass (低手墊球),393,462,✅ 正常: 69 幀,1 - 部分遮擋但軌跡完整,,431-451,擊球完骨架才消失,
HDR80_A_Live_20230205_132958_000.json,11,2,Setting,Standard Set (站立舉球),470,554,✅ 正常: 84 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230205_132958_000.json,7,3,Attacking,Spike (重扣),546,620,✅ 正常: 74 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230205_132958_000.json,6,1,Passing,Forearm Pass (低手墊球),608,667,✅ 正常: 59 幀,1 - 部分遮擋但軌跡完整,,645-658,擊球完骨架才消失,
HDR80_A_Live_20230205_132958_000.json,11,3,Attacking,Spike (重扣),748,833,✅ 正常: 85 幀,0 - 清晰可見,正常 (預設),,落地後球員遮擋,
HDR80_A_Live_20230205_132958_000.json,9,1,Passing,Forearm Pass (低手墊球),955,1043,✅ 正常: 88 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230205_132958_000.json,4,3,Attacking,,1053,1140,✅ 正常: 87 幀,1 - 部分遮擋但軌跡完整,,"1053-1087, 1118-1140",起跳和落地消失,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,13,1,Passing,Forearm Pass (低手墊球),610,740,✅ 正常: 130 幀,0 - 清晰可見,正常 (預設),,,後仰
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,12,1,Passing,Forearm Pass (低手墊球),737,786,✅ 正常: 49 幀,1 - 部分遮擋但軌跡完整,收尾期間消失,761-786,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,2,3,Attacking,Tip / Power Tip (輕吊球),900,961,✅ 正常: 61 幀,1 - 部分遮擋但軌跡完整,骨架閃爍,,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,9,1,Passing,Forearm Pass (低手墊球),931,1009,✅ 正常: 78 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,7,2,Setting,Standard Set (站立舉球),1053,1138,✅ 正常: 85 幀,1 - 部分遮擋但軌跡完整,收尾期間消失,1112-1130,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,3,2,Setting,Jump Set (跳傳),1346,1422,✅ 正常: 76 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,1,2,Setting,Standard Set (站立舉球),1422,1510,✅ 正常: 88 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144146_000.mov_show_data_GNN.json,0,3,Attacking,Spike (重扣),1475,1577,✅ 正常: 102 幀,1 - 部分遮擋但軌跡完整,骨架閃爍,,,
HDR80_A_Live_20230204_144228_000.mov_show_data_GNN.json,12,1,Passing,Forearm Pass (低手墊球),258,365,✅ 正常: 107 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144228_000.mov_show_data_GNN.json,7,3,Attacking,Spike (重扣),366,459,✅ 正常: 93 幀,1 - 部分遮擋但軌跡完整,蓄力期間消失,407-421,,
HDR80_A_Live_20230204_144228_000.mov_show_data_GNN.json,1,1,Passing,Forearm Pass (低手墊球),408,545,✅ 正常: 137 幀,0 - 清晰可見, 動作不標準,,,後退接球，接到後跪地
HDR80_A_Live_20230204_144228_000.mov_show_data_GNN.json,13,2,Setting,Jump Set (跳傳),530,610,✅ 正常: 80 幀,1 - 部分遮擋但軌跡完整,骨架閃爍,收尾期間閃爍,,
HDR80_A_Live_20230204_144456_000.mov_show_data_GNN.json,2,5,Serving,Overhand / Float Serve (上手/飄球),98,206,✅ 正常: 108 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144456_000.mov_show_data_GNN.json,3,2,Setting,Standard Set (站立舉球),301,350,✅ 正常: 49 幀,1 - 部分遮擋但軌跡完整,骨架閃爍,收尾期間閃爍,,
HDR80_A_Live_20230204_144517_000.mov_show_data_GNN.json,11,5,Serving,Overhand / Float Serve (上手/飄球),10,103,✅ 正常: 93 幀,1 - 部分遮擋但軌跡完整,蓄力期間消失,10-44,,
HDR80_A_Live_20230204_144517_000.mov_show_data_GNN.json,3,1,Passing,Forearm Pass (低手墊球),120,211,✅ 正常: 91 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144517_000.mov_show_data_GNN.json,8,3,Attacking,Off-Speed Spike (輕扣/包球),204,320,✅ 正常: 116 幀,1 - 部分遮擋但軌跡完整,蓄力期間消失,"[222-234, 274-299], 揮手期間248-273沒有消失","受到ID7,ID10干擾",
HDR80_A_Live_20230204_144535_000.mov_show_data_GNN.json,2,1,Passing,Forearm Pass (低手墊球),388,505,✅ 正常: 117 幀,0 - 清晰可見,正常 (預設),,,
HDR80_A_Live_20230204_144535_000.mov_show_data_GNN.json,1,2,Setting,Standard Set (站立舉球),493,590,✅ 正常: 97 幀,1 - 部分遮擋但軌跡完整,收尾期間消失,"560-569,後續閃爍",,
HDR80_A_Live_20230204_143457_000.mov_show_data_GNN.json,11,5,Serving,Overhand / Float Serve (上手/飄球),318,406,✅ 正常: 88 幀,1 - 部分遮擋但軌跡完整,蓄力期間消失,318-353,,
HDR80_A_Live_20230204_143644_000.mov_show_data_GNN.json,10,5,Serving,Overhand / Float Serve (上手/飄球),128,248,✅ 正常: 120 幀,0 - 清晰可見,,,,
HDR80_A_Live_20230204_143644_000.mov_show_data_GNN.json,5,1,Passing,Forearm Pass (低手墊球),241,305,✅ 正常: 64 幀,0 - 清晰可見,,,,
HDR80_A_Live_20230204_143644_000.mov_show_data_GNN.json,3,2,Setting,Standard Set (站立舉球),323,377,✅ 正常: 54 幀,0 - 清晰可見,,,,
HDR80_A_Live_20230204_143703_000.mov_show_data_GNN.json,4,1,Passing,Forearm Pass (低手墊球),273,356,✅ 正常: 83 幀,0 - 清晰可見,,,,
HDR80_A_Live_20230204_143703_000.mov_show_data_GNN.json,10,2,Setting,Jump Set (跳傳),362,414,✅ 正常: 52 幀,,,,,
HDR80_A_Live_20230204_143703_000.mov_show_data_GNN.json,6,3,Attacking,Off-Speed Spike (輕扣/包球),384,500,✅ 正常: 116 幀,,,,,
143724,5,1,Passing,Forearm Pass (低手墊球),320,412,✅ 正常: 92 幀,,,,,
143724,6,1,Passing,Overhead Pass (上手接球),430,498,✅ 正常: 68 幀,,,,,
143724,1,3,Attacking,Off-Speed Spike (輕扣/包球),503,604,✅ 正常: 101 幀,,,,,
143724,4,4,Blocking,Shuffle Block (橫移攔網),500,620,✅ 正常: 120 幀,,,,,
143724,0,4,Blocking,In-Place Block (原地攔網),607,651,✅ 正常: 44 幀,,,,,
143724,10,1,Passing,Forearm Pass (低手墊球),645,736,✅ 正常: 91 幀,,,,,
143724,7,2,Setting,Jump Set (跳傳),708,787,✅ 正常: 79 幀,,,,,
143724,8,3,Attacking,Spike (重扣),759,865,✅ 正常: 106 幀,,,,,
144021,8,1,Passing,Forearm Pass (低手墊球),210,285,✅ 正常: 75 幀,,,,,
144021,5,,Attacking,Spike (重扣),369,467,✅ 正常: 98 幀,,,,,
144055,1,3,Attacking,Off-Speed Spike (輕扣/包球),623,716,✅ 正常: 93 幀,,,,,
144120,1,1,Passing,Forearm Pass (低手墊球),503,597,✅ 正常: 94 幀,,,,,
144120,5,2,Setting,Jump Set (跳傳),601,677,✅ 正常: 76 幀,,,,,
144120,1,3,Attacking,Off-Speed Spike (輕扣/包球),650,768,✅ 正常: 118 幀,,,,,
144559,1,1,Passing,Forearm Pass (低手墊球),267,347,✅ 正常: 80 幀,,,,,
144559,8,2,Setting,Jump Set (跳傳),335,402,✅ 正常: 67 幀,,,,,
144559,2,3,Attacking,Spike (重扣),380,508,✅ 正常: 128 幀,,,,,
144619,11,5,Serving,Overhand / Float Serve (上手/飄球),268,406,✅ 正常: 138 幀,,,,,
144619,7,1,Passing,Dive / Pancake (撲救/魚躍),399,469,✅ 正常: 70 幀,,,,,
144619,2,3,Attacking,Off-Speed Spike (輕扣/包球),518,584,✅ 正常: 66 幀,,,,,
144619,1,1,Passing,Forearm Pass (低手墊球),557,680,✅ 正常: 123 幀,,,,,
144619,9,2,Setting,Jump Set (跳傳),654,695,✅ 正常: 41 幀,,,,,
144619,0,1,Passing,Forearm Pass (低手墊球),817,897,✅ 正常: 80 幀,,,,,
144619,13,2,Setting,Jump Set (跳傳),889,954,✅ 正常: 65 幀,,,,,
144714,11,5,Serving,Overhand / Float Serve (上手/飄球),274,345,✅ 正常: 71 幀,,,,,
144714,0,1,Passing,Forearm Pass (低手墊球),353,406,✅ 正常: 53 幀,,,,,
144714,7,2,Setting,Jump Set (跳傳),438,525,✅ 正常: 87 幀,,,,,
144714,6,3,Attacking,Spike (重扣),498,628,✅ 正常: 130 幀,,,,,
144714,1,1,Passing,Forearm Pass (低手墊球),556,636,✅ 正常: 80 幀,,,,,
144714,9,1,Passing,Forearm Pass (低手墊球),673,751,✅ 正常: 78 幀,,,,,
